symptom,description,severityLevel,precautions,disease
Loss Of Taste,"Loss of Taste can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Sinus Drainage,"Sinus Drainage can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Swollen Feet,"Swollen Feet can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Swollen Hands,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Swollen Hands. Early attention helps recovery.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Joint Swelling,"Joint Swelling may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Finger Numbness,"Finger Numbness can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Toe Numbness,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Toe Numbness. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Sunburn,"Sunburn often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Heat Rash,Sometimes Heat Rash happens when the immune system is responding to minor infections or environmental factors.,Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Bruising Easily,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Bruising Easily. Early attention helps recovery.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Chest Heaviness,"Chest Heaviness can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Throat Irritation,"Throat Irritation may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Ear Fullness,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Ear Fullness. Early attention helps recovery.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Chest Infection,People often experience chest infection because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Respiratory / Chest Issue
Bronchitis,"Bronchitis may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Asthma Wheezing,"Common causes of asthma wheezing include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Nerve Pain,"Nerve Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Neurological Issue
Sharp Ear Pain,"Sharp Ear Pain can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",ENT Issue
Gallbladder Pain,"Gallbladder Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Liver Pain,"Liver Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Kidney Stone Pain,"Common causes of kidney stone pain include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Appendix Pain,"Common causes of appendix pain include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Vomiting Blood,"Vomiting Blood can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Gastrointestinal Issue
Severe Back Spasm,"Severe Back Spasm can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Bone / Muscle / Joint Issue
Eye Swelling,People often experience eye swelling because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Eyelid Drooping,People often experience eyelid drooping because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Hand Weakness,"Hand Weakness may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Leg Weakness,"Leg Weakness can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Loss Of Balance,"Loss of Balance can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Severe Joint Stiffness,"Severe Joint Stiffness can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Bone / Muscle / Joint Issue
Cold Sweats,"Cold Sweats may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Heat Exhaustion,"Heat Exhaustion may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Heat Stroke,"Common causes of heat stroke include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Allergic Swelling,People often experience allergic swelling because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Food Allergy Reaction,"Common causes of food allergy reaction include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Throat Dryness Severe,"Throat Dryness Severe may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,ENT Issue
Pain During Urination,"Pain During Urination may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Swollen Tonsils,"Swollen Tonsils may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Gum Infection,"Common causes of gum infection include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Dental / Oral Issue
Mouth Burning,"Mouth Burning can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Dental / Oral Issue
Stomach Burning,People often experience stomach burning because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Ulcer Pain,"Ulcer Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Severe Indigestion,"Severe Indigestion can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Gastrointestinal Issue
Nasal Burning,"Nasal Burning can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Sinus Infection,"Sinus Infection can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,ENT Issue
Eye Redness Severe,"Eye Redness Severe can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Foot Burning,People often experience foot burning because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Heel Swelling,"Heel Swelling may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Wrist Swelling,People often experience wrist swelling because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Forearm Pain,"Forearm Pain can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",ENT Issue
Arm Numbness,"Arm Numbness can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Leg Numbness,"Leg Numbness can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Neurological Issue
Swollen Eyelids,"Swollen Eyelids may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Chest Pressure Heavy,"Chest Pressure Heavy can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Severe Heart Palpitations,"Common causes of severe heart palpitations include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Cardiac Issue
Irregular Heartbeat,"Common causes of irregular heartbeat include immunity changes, irritation, or organ-related disturbances.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Cardiac Issue
Blackout Episodes,People often experience blackout episodes because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Severe Fatigue,"Common causes of severe fatigue include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Muscle Tear Pain,People often experience muscle tear pain because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Joint Locking,"Common causes of joint locking include immunity changes, irritation, or organ-related disturbances.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Bone Pain,"Bone Pain can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Hip Stiffness,People often experience hip stiffness because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Groin Pain,"Common causes of groin pain include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Inguinal Pain,"Inguinal Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Lower Rib Pain,"Lower Rib Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Upper Rib Pain,"Upper Rib Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Jaw Clicking,"Jaw Clicking may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Jaw Locking,People often experience jaw locking because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Face Numbness,"Face Numbness may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Face Pain,"Face Pain can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Ear Blockage,"Ear Blockage can be linked to stress, fatigue, or underlying medical issues.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",ENT Issue
Water In Ear,"Common causes of water in ear include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",ENT Issue
Stomach Infection,"Stomach Infection can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Gastrointestinal Issue
Intestinal Cramps,"Intestinal Cramps can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Rectal Pain,"Rectal Pain can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Rectal Bleeding,"Common causes of rectal bleeding include immunity changes, irritation, or organ-related disturbances.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Severe Gas Pain,"Common causes of severe gas pain include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Gastrointestinal Issue
Severe Abdominal Tightness,"Severe Abdominal Tightness may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Gastrointestinal Issue
Pelvic Pressure,"Pelvic Pressure may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Pelvic Cramps,"Pelvic Cramps can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Menstrual Cramps Severe,People often experience menstrual cramps severe because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Women’s Health Issue
Ovarian Pain,"Common causes of ovarian pain include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Women’s Health Issue
Testicular Pain,"Testicular Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Urinary Retention,"Urinary Retention may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
High Fever,People often experience high fever because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Low Fever,"Low Fever may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Throat Infection,"Throat Infection can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,ENT Issue
Body Itching Severe,People often experience body itching severe because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Skin Issue
Skin Infection,"Skin Infection may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Skin Issue
Red Patches,People often experience red patches because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
White Patches,People often experience white patches because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Skin Burning Severe,"Skin Burning Severe may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Skin Issue
Cold Urticaria,"Common causes of cold urticaria include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Heat Urticaria,"Common causes of heat urticaria include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Skin Blisters,"Common causes of skin blisters include immunity changes, irritation, or organ-related disturbances.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Skin Issue
Fluid Retention,"Fluid Retention can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Water Retention,People often experience water retention because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Ankle Swelling Severe,"Common causes of ankle swelling severe include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Foot Infection,People often experience foot infection because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Hand Infection,"Common causes of hand infection include immunity changes, irritation, or organ-related disturbances.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Neck Swelling Severe,"Neck Swelling Severe can be linked to stress, fatigue, or underlying medical issues.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Lymph Node Infection,"Lymph Node Infection may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,General Systemic Issue
Voice Loss,People often experience voice loss because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Breathlessness Severe,People often experience breathlessness severe because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Respiratory / Chest Issue
Air Hunger,"Air Hunger may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",General Systemic Issue
Sharp Rib Pain,"Sharp Rib Pain may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Lower Back Burning,People often experience lower back burning because of sudden changes in health or environment.,Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Upper Back Burning,"Upper Back Burning may occur due to infections, inflammation, or strain. Monitoring symptoms helps understand the cause.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Bone Crack Feeling,"Bone Crack Feeling can be linked to stress, fatigue, or underlying medical issues.",Moderate,"Avoid physical strain and consult a doctor if symptoms continue. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Bone Weakness,People often experience bone weakness because of sudden changes in health or environment.,Mild,"Rest, stay hydrated, and monitor symptoms. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Severe Muscle Knots,People often experience severe muscle knots because of sudden changes in health or environment.,Severe,Seek immediate medical attention and avoid physical activity. Consult a doctor immediately.,Bone / Muscle / Joint Issue
Upper Chest Discomfort,"Upper Chest Discomfort may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Lower Chest Discomfort,"Common reasons for lower chest discomfort include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Deep Lung Pain,"Deep Lung Pain may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Sharp Lung Pain,"Common reasons for sharp lung pain include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Choking Feeling,"Choking Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Tickling Throat,"Tickling Throat can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",ENT Issue
Burning Throat,"Burning Throat may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Deep Cough Pain,"Common reasons for deep cough pain include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Abdominal Tightness,"Abdominal Tightness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Gastrointestinal Issue
Severe Chest Vibration,"People may feel severe chest vibration due to stress, organ responses, or sudden changes in body function.",Severe,Stay accompanied and avoid self-treatment. Consult a doctor immediately.,Respiratory / Chest Issue
Ear Pressure,"Common reasons for ear pressure include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",ENT Issue
Full Body Shaking,"Common reasons for full body shaking include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Hand Coldness,"People may feel hand coldness due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Face Tingling,"Common reasons for face tingling include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Neurological Issue
Toe Tingling,"Common reasons for toe tingling include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Neurological Issue
Sharp Heel Pain,"Sharp Heel Pain can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Collapsed Feeling,"Collapsed Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Severe,Stay accompanied and avoid self-treatment. Consult a doctor immediately.,General Systemic Issue
Breathing Pain,"Breathing Pain can appear during infections, climate shifts, or temporary imbalances in the body.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Respiratory / Chest Issue
Cold Shiver Waves,"People may feel cold shiver waves due to stress, organ responses, or sudden changes in body function.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Warm Skin Feeling,"Warm Skin Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Skin Issue
Forehead Pressure,"People may feel forehead pressure due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Neurological Issue
Eye Burning,"Eye Burning can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Severe Watery Eyes,"Common reasons for severe watery eyes include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,General Systemic Issue
Internal Burning Sensation,"Internal Burning Sensation may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Stomach Knot,"Stomach Knot can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Gastrointestinal Issue
Stomach Pulling Pain,"People may feel stomach pulling pain due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Left Side Chest Ache,"Left Side Chest Ache may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Right Side Chest Ache,"Right Side Chest Ache can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Internal Tremors,"People may feel internal tremors due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Mid Back Tightness,"Mid Back Tightness can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Upper Spine Pain,"Upper Spine Pain may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
